07-04-2026 16:04:02 | GET | cafeteria-api/pedidos
07-04-2026 16:04:10 | GET | cafeteria-api/pedidos
07-04-2026 16:04:33 | GET | cafeteria-api/pedidos
07-04-2026 16:04:40 | GET | cafeteria-api/pedidos
07-04-2026 16:04:45 | GET | cafeteria-api/pedidos
07-04-2026 16:04:58 | GET | cafeteria-api/pedidos
07-04-2026 16:05:03 | GET | cafeteria-api/pedidos
07-04-2026 16:05:09 | GET | cafeteria-api/pedidos
07-04-2026 16:05:15 | GET | cafeteria-api/pedidos
07-04-2026 16:15:30 | GET | cafeteria-api/pedidos
07-04-2026 17:00:19 | GET | cafeteria-api/pedidos
07-04-2026 17:00:20 | GET | cafeteria-api/pedidos
07-04-2026 17:00:21 | GET | cafeteria-api/pedidos
07-04-2026 17:01:25 | GET | cafeteria-api/pedidos
07-04-2026 17:03:14 | GET | cafeteria-api/pedido
07-04-2026 17:03:18 | GET | cafeteria-api/pedido
07-04-2026 17:03:45 | GET | cafeteria-api/pedido
07-04-2026 17:03:46 | GET | cafeteria-api/pedido
07-04-2026 17:03:47 | GET | cafeteria-api/pedido
07-04-2026 17:03:49 | GET | cafeteria-api/pedido
07-04-2026 17:04:24 | GET | cafeteria-api/pedido
07-04-2026 17:04:27 | GET | cafeteria-api/pedido
07-04-2026 17:04:51 | GET | cafeteria-api/pedidos
07-04-2026 17:04:53 | GET | cafeteria-api/pedidos
07-04-2026 17:04:57 | GET | cafeteria-api/pedidos
07-04-2026 17:05:01 | GET | cafeteria-api/pedidos
07-04-2026 17:05:14 | GET | cafeteria-api/pedidos
07-04-2026 17:05:18 | GET | cafeteria-api/pedidos
07-04-2026 17:05:20 | GET | cafeteria-api/pedido
07-04-2026 17:06:11 | GET | cafeteria-api/pedidos
07-04-2026 17:06:14 | GET | cafeteria-api/pedidos
07-04-2026 17:06:18 | GET | cafeteria-api/pedidos
07-04-2026 17:06:20 | GET | cafeteria-api/pedidos
07-04-2026 17:06:27 | GET | cafeteria-api/pedidos
07-04-2026 17:07:36 | GET | cafeteria-api/pedidos
07-04-2026 17:07:53 | GET | cafeteria-api/pedidos
07-04-2026 17:08:00 | GET | cafeteria-api/pedidos
07-04-2026 17:08:02 | GET | cafeteria-api/pedidos
07-04-2026 17:08:03 | GET | cafeteria-api/pedidos
07-04-2026 17:08:07 | GET | cafeteria-api/pedidos
07-04-2026 17:08:14 | GET | cafeteria-api/pedidos
07-04-2026 17:08:18 | GET | cafeteria-api/pedidos
07-04-2026 17:09:35 | GET | cafeteria-api/pedido
07-04-2026 17:10:16 | GET | cafeteria-api/pedido
07-04-2026 17:10:16 | GET | cafeteria-api/categorias
07-04-2026 17:10:18 | GET | cafeteria-api/categorias
07-04-2026 17:10:32 | GET | cafeteria-api/pedido
s
07-04-2026 17:10:37 | GET | cafeteria-api/produtos
07-04-2026 17:11:23 | GET | cafeteria-api/produtos
07-04-2026 17:11:30 | GET | cafeteria-api/produtos
07-04-2026 17:11:30 | GET | cafeteria-api/pedido
07-04-2026 17:11:48 | GET | cafeteria-api/pedido
s
07-04-2026 17:12:07 | GET | cafeteria-api/produtos
07-04-2026 17:12:29 | GET | cafeteria-api/produtos
07-04-2026 17:12:44 | GET | cafeteria-api/pedido
