2026-04-10 17:27:19 | GET | meus-planos-api/categorias
ct%20Event]
2026-04-10 17:27:33 | GET | meus-planos-api/categorias
2026-04-10 17:27:33 | GET | meus-planos-api/itens/[object%20Event]
2026-04-10 17:27:35 | OPTIONS | meus-planos-api/itens/7
2026-04-10 17:27:35 | PUT | meus-planos-api/itens/7
2026-04-10 17:27:35 | GET | meus-planos-api/itens
2026-04-10 17:27:55 | GET | meus-planos-api/categorias
2026-04-10 18:43:14 | GET | meus-planos-api/categorias
2026-04-10 18:43:26 | POST | meus-planos-api/categorias
2026-04-10 18:43:26 | GET | meus-planos-api/categorias
2026-04-10 18:43:28 | GET | meus-planos-api/categorias
2026-04-10 18:43:28 | GET | meus-planos-api/itens/[object%20Event]
2026-04-10 18:43:32 | OPTIONS | meus-planos-api/itens/7
2026-04-10 18:43:32 | PUT | meus-planos-api/itens/7
2026-04-10 18:43:32 | GET | meus-planos-api/itens
2026-04-10 18:43:46 | POST | meus-planos-api/itens
2026-04-10 18:43:46 | GET | meus-planos-api/itens
2026-04-10 18:43:48 | OPTIONS | meus-planos-api/itens/12
2026-04-10 18:43:48 | PUT | meus-planos-api/itens/12
